Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingMode,ShippingTime,Price,Currency,0,1,2,3,4,5,6,ProductType_lbl,Price_5000
2020-08-16,10471,Coats/Jackets,1 star,8736,Female,Credit Card,Economy,17,9266.22210769246,₹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2020-08-02,10472,Dresses,2 star,8547,Unspecified,Ewallet,Mail,12,2834.4263798200004,€,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0
2020-08-08,10473,Coats/Jackets,2 star,9833,Unspecified,Prepaid Card,Mail,10,8393.048699628827,₹,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2020-08-08,10477,Coats/Jackets,5 star,9406,Unspecified,Direct Deposit,Mail,14,9364.265533620728,£,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2020-08-08,10478,Jeans,1 star,8554,Unspecified,Direct Deposit,Mail,18,4287.06,$,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0
2020-08-21,10481,Dresses,2 star,7750,Female,Direct Deposit,Economy,17,4532.25699876,€,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0
2020-08-18,10482,Pants,5 star,7816,Female,Mobile Payment,Mail,10,8054.7833388,€,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1.0
2020-08-11,10483,Cardigan,4 star,7021,Unspecified,Cash,Express,6,6756.94,$,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
2020-08-02,10484,Coats/Jackets,1 star,5024,Male,Mobile Payment,Express,18,3148.65,$,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0
2020-08-20,10485,Dresses,1 star,9030,Female,Mobile,Mail,7,9743.11,$,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0
